I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
219		853														10	ITALY		ITALY:  BOIANO	  41.500	   14.500	130																								
222		854	6	2												10	TUNISIA		TUNISIA:  KAIROUAN, TUNIS	  35.700	   10.100	15								3		3										3		3		
221		854														8	FRANCE		FRANCE:  CAMBRAI,TOURNAI,MAYENCE	  50.100	    3.100	120								2																
220		854															ARMENIA		ARMENIA:  TOVIN	  40.000	   45.000	40	    2000	4						3					    2000	4						3				
224		855	5	22													IRAN		IRAN:  REY (RAY)	  35.300	   51.200	140		3						3		3				3						3		3		
225		856	1					10	 4.5		 4.5					8	ARMENIA		ARMENIA:  DVIN	  40.000	   44.600	40								3		3				2						3		3		
230		856	12	3												10	TUNISIA		TUNISIA:  TUNIS	  36.800	   10.200	15	   45000	4						4					   45000	4						4				
232		856	12	22					 7.9		 7.9					10	IRAN		IRAN:  DAMGHAN, QUMIS	  36.200	   54.300	140	  200000	4						4		4			  200000	4						4		4		
227		856	12														GREECE		GREECE:  KORINTHOS,PATRAI (PATRAS)	  37.900	   22.900	130	   45000	4											   45000	4										
8179		857	4														EGYPT		EGYPT			15								2		2		2								2				2
234		858	1					10	 5.2						 5.2		TURKEY		TURKEY; ARMENIA:  DVINA	  40.000	   44.600	140	   12000	4						3																
235		858	4	19													IRAN		IRAN:  TABRIZ	  38.000	   46.200	140		3						3																
238		859	4	8												11	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.000	   36.000	140		3						3																
240		860	5	23			    									8	IRAQ		IRAQ:  BAGHDAD	  33.000	   44.500	140								2																
242		863	2	24													IRAN		IRAN:  REY (RAY)	  35.300	   51.200	140		3						3																
243		863	4					10	 4.9						 4.9		TURKEY		TURKEY; ARMENIA:  DVINA	  40.000	   44.600	140		3						2																
7342	Tsu	863	7	10					 7.0		 7.0						JAPAN		JAPAN: NAOETSU, NIIGATA PREFECTURE	  37.100	  138.000	30		3						3		3				3						3		3		
241		863															IRAN		IRAN:  TABRIZ; ARMENIA:  JEREVAN (ERIVAN)	  38.000	   46.200	140		3						3																
244		864	1	15			    										IRAN		IRAN:  REY	  35.300	   51.200	140								2																
245		867	1	9			    									10	TURKEY		TURKEY	  41.000	   29.000	140																								
247	Tsu	869	7	13					 8.6		 8.6						JAPAN		JAPAN:  SANRIKU	  38.500	  143.800	30		3						4		3				4						4		3		
254		871	11	18					 6.8		 6.8					7	IRAN		IRAN:  SAIMAREH	  33.200	   47.200	140	   20000	4						4		4			   20000	4						4		4		
259		876	7	14					 6.5		 6.5					8	CHINA		CHINA:  NINGXIA: QINGTONGXIA	  37.800	  105.900	30		3						2		2				3						2		2		
260		881	5	27												10	ALGERIA		ALGERIA-MOROCCO	  30.000	   -6.000	15																								
261		885	11	27												10	EGYPT		EGYPT:  AL-QAHIRAH (CAIRO)	  30.000	   31.100	15	    1000	3						3		3		3	    1000	3						3		3		
5900	Tsu	887	8	2					 6.5		 6.5						JAPAN		JAPAN:  HONSHU:  NIIGATA	  37.500	  138.100	30													    2000	4										
262	Tsu	887	8	26					 8.6		 8.6						JAPAN		JAPAN:  NANKAIDO	  33.000	  135.300	30		2						3		3				3						3		3		
263		891					    	20	 6.3						 6.3	9	IRAN		IRAN:  ARDABIL	  38.300	   48.300	140								3																
268		893	12	24				10								10	ARMENIA		ARMENIA:  DVIN; IRAN:  ARDABIL	  40.000	   44.600	140	  150000	4						4		4			  150000	4						4		4		
270		894					    		 5.3						 5.3		ITALY		ITALY:  VERONA	  45.300	   11.000	130		2						2																
272		896	9	4			    									10	MACEDONIA		BALKANS NW:  MACEDONIA	  41.700	   22.900	130																								
271		896					    										ITALY		ITALY:  ROMA (ROME)	  41.900	   12.600	130		3						3																
273		898					    										IRAN		IRAN:  REY (RAY)	  35.300	   51.200	140								3																
274		910	9	9			    										IRAQ		IRAQ:  KUFAH,BAGHDAD	  33.200	   44.200	140								2																
275		912	4				    										IRAN		IRAN:  DINAVAR	  34.600	   47.800	140								3																
5901	Tsu	922							 7.0		 7.0						JAPAN		JAPAN:  KUMANONADA	  33.800	  136.700	30								1												1				
276		942	6				    	20	 6.7						 6.7	9	UZBEKISTAN		UZBEKISTAN:  BUKHARA	  39.700	   64.500	40								3																
277		942	9	15													IRAN		IRAN:  LADNESA	  36.000	   51.700	140		3																						
280		943	8	20													TURKMENISTAN		TURKMENISTAN:  NISA	  38.000	   58.300	40	    5000	4						3																
281		951					    									9	SYRIA		SYRIA:  HALAB (ALEPPO),RAHBA,DULUK; TURKEY: ANTAKYA	  36.100	   37.100	140								3																
282		953	8	20			    	18	 7.1						 7.1	10	TURKMENISTAN		TURKMENISTAN:  NISA	  38.000	   58.300	40								3																
284		956	4	15			    										IRAN		IRAN:  HAMADAN	  34.900	   48.400	140		3						2																
286		957	4													7	IRAQ		IRAQ:  HALWAN; IRAN:  KEREND,QASR-E-SHIRIN	  34.800	   44.800	140								3																
287	Tsu	957					    										IRAN		IRAN:  RAY, TALQAN	  35.700	   51.400	140																								
290		958	2	23			    										IRAN		IRAN:  REY (RAY); AFGHANISTAN: TALQAN	  35.300	   51.200	140		3						3																
293		958	3				    										IRAQ		IRAQ:  HALWAN,JALULA,KHANIKIN,BAGHDAD	  33.200	   44.200	140								3																
294	Tsu	963	7	22												11	ITALY		ITALY:  SICILY	  38.000	   15.000	130		3												4										
295		972					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH); SYRIA	  36.100	   36.100	140								2																
297		977	8	19			    										IRAN		IRAN:  TAHERI (SIRAF)	  27.400	   52.200	140								3																
298		978	6	17					 5.3		 5.3					7	IRAN		IRAN:  TAHERI (SIRAF)	  27.700	   52.300	140	    2000	4						3		3			    2000	4						3		3		
299		985	2	10			    										ITALY		ITALY:  BENEVENTO	  41.100	   14.800	130								2																
300		986	5	13												8	IRAQ		IRAQ:  AL-MAWSIL (MOSUL)	  36.200	   43.100	140		3						3																
303		990					    									10	ITALY		ITALY:  BENEVENTO	  41.100	   14.800	130																								
304	Tsu	991	4	5			    									9	SYRIA		SYRIA:  DIMASHQ (DAMASCUS)	  33.500	   36.300	140								2																
7902		999	8	23													CHINA		CHINA:  HUNAN PROVINCE	  29.000	  112.000	30		2						2						2						2				
7904		999	10						 5.5		 5.5					7	CHINA		CHINA:  JIANGSU PROVINCE:   CHANGZHOU	  31.800	  119.900	30								1												1				
306		1000	1													8	SLOVENIA		BALKANS NW:  SLOVENIA:  LJUBLJANA	  46.000	   14.500	130								3																
307		1000	4	30													CHINA		CHINA:  SHAANXI PROVINCE	  35.000	  110.000	30	      62	2						1					      62	2						1				
309		1001	1														CHINA		CHINA:  SHAANXI PROVINCE:  TSIN	  34.300	  109.000	30	      60	2											      60	2										
308		1001					    		 6.0						 6.0		ITALY		ITALY:  VERONA	  45.300	   11.000	130		3						2																
312		1003					    										FRANCE		FRANCE:  BURGUNDY	  47.000	    6.000	120								3																
311		1003						20	 4.2						 4.2	7	TURKEY		TURKEY:  KARS, DIGOR, ANI (ARMENIA)	  40.500	   43.300	140		3						2																
316		1007	9	17												8	IRAQ		IRAN-IRAQ:  DINAVAR,BAGHDAD, TIGRIS-KTESIPHON	  33.200	   44.200	140	   16000	4						3																
318	Tsu	1008	4	11					 6.5		 6.5						IRAN		IRAN-IRAQ:  DAINAWAR	  27.665	   52.348	140	   16000	4						4					   16000	4						4				
319		1010	3	9			    									10	TURKEY		TURKEY	  41.000	   29.500	140																								
321		1013														10	ICELAND		ICELAND:  SUDURLAND	  64.000	  -21.000	120	      11	1											      11	1										
322		1021	5	12	10		    									9	SWITZERLAND		SWITZERLAND	  47.500	    7.600	120								3																
7905		1022	4						 6.5		 6.5					8	CHINA		CHINA:  SHAANXI PROVINCE:  DATONG	  39.800	  113.100	30								1		1										1		1		
5902	Tsu	1026	6	16					 7.5		 7.5						JAPAN		JAPAN:  OFF MASUDA, SHIMANE PREFECTURE	  34.800	  131.800	30													    1001	4						3	3000	4		
8156	Tsu	1033	12	5												10	SYRIA		ISRAEL:  RAMALA, GAZA, NABLUS; EGYPT	  33.000	   35.000	140	   70000	4						3		3			   70000	4						3		3		
325		1036	7						 5.7						 5.7	7	NORTH KOREA		NORTH KOREA:  KAESONG	  37.600	  126.300	30								2																
326		1037	12														CHINA		CHINA:  JIANGSU PROVINCE:  TAICHOU	  32.000	  119.000	30	   22391	4						4					   22391	4						4				
327		1038	1	9					 7.3		 7.3					10	CHINA		CHINA:  SHAANXI PROVINCE:  DINGXIANG, XINXIAN	  38.400	  112.900	30	   32300	4						4																
8237	Tsu	1039	2	2					 6.8		 6.8						TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  38.400	   27.300	140		3						2		2		2		3						2		2		
330		1040														11	TUNISIA		TUNISIA:  AL-KAIRAWAN	  35.700	   10.000	15								3																
333		1042	8	21													IRAN		IRAN:  TABRIZ	  38.000	   46.200	140	   40000	4						4																
335		1042	11	4	13	30		15	 7.6						 7.6	9	IRAN		IRAN:  TABRIZ	  38.100	   46.300	140	   50000	4						4					   50000	4						4				
336		1045					    									9	TURKEY		TURKEY	  39.700	   39.500	140								2																
337		1046					    	15	 5.5						 5.5	8	TURKEY		TURKEY:  ANI (ARMENIA)	  40.500	   43.500	140		3						3																
338		1048															UK		UNITED KINGDOM:  BRITIAN	  52.000	        	120		3																						
341		1052	3														IRAN		IRAN:  KHORASAN:  BAIHAQ, NISHAPUR	  36.000	   58.800	140								3																
339		1052															IRAN		IRAN:  KHUZESTAN:  ARRJAN	  30.600	   50.300	140								3																
344		1057							 6.8		 6.8					9	CHINA		CHINA:  BEIJING	  39.700	  116.300	30	   25000	4						4					   25000	4						4				
348		1058	12	8	15												IRAQ		IRAQ:  MOSUL, KIRKUK, HAMADAN, TIKRIT, WASIT, AMAH	  34.300	   44.700	140		3						3																
351		1063	7				    									8	LEBANON		LEBANON:  TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ	  34.300	   35.500	140		3						3																
352		1063	9	23			    									8	TURKEY		TURKEY:  ISTANBUL,TRAKYA, ERDEK, IZNIK	  40.400	   28.900	140																								
353		1064					    										TURKEY		TURKEY:  IZNIK,NICAEA	  40.700	   29.700	140								3																
354		1065	1	21			    									10	ITALY		ITALY:  SICILY:  CATANIA,MESSINA,MILAZZO,PALE	  38.100	   15.100	130	     975	3						3																
355		1065	12	3			    										IRAN		IRAN:  KHORASAN,JABAL	  35.000	   58.000	140		3						3																
356		1066	3	31			    										IRAN		IRAN:  KHORASAN	  34.000	   58.000	140		3						3																
359		1067	11						 6.8		 6.8					9	CHINA		CHINA:  GUANGDONG PROVINCE	  23.600	  116.500	30		3						4						3						4				
361	Tsu	1068	3	18												9	ISRAEL		ISRAEL:  RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA	  29.500	   34.950	140		3						4		4				3						4		4		
362		1068	8	14					 6.0		 6.0					8	CHINA		CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN	  38.500	  116.100	30		3						3		3				3						3		3		
364		1070	2	25			    										EGYPT		EGYPT:  AL-QAHIRAH (CAIRO); ISRAEL:  JERUSALEM	  30.000	   31.100	15								2																
365		1072														8	YEMEN		YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA	  14.200	   43.300	60	      50	1						2		2		2	      50	1						2		2		
366		1076					    									8	SYRIA		SYRIA:  (MANY COUNTRIES)	  35.000	   38.000	140		3						3																
367		1082	12	6			    									10	TURKEY		TURKEY	  40.500	   28.500	140																								
369		1085	4	29			    										TURKEY		TURKEY:  ERZURUM	  39.900	   41.100	140		3																						
368		1085	4	29			    										IRAN		IRAN:  ARAJAN,KHUZESTAN	  31.000	   49.000	140		3						3																
371		1086	4	18			    									8	IRAQ		IRAQ:  MESOPOTAMIA,JAZIRAH,BADHARAYA; SYRIA	  34.000	   44.000	140								2																
370		1086					    										ITALY		ITALY:  SIRACUSA (SYRACUSE)	  37.000	   15.300	130	    1000	3						3																
372		1088	4	22			    	10	 5.3						 5.3		GEORGIA		GEORGIA:  TMOGVI	  41.400	   43.200	40		3						3																
5904	Tsu	1088	6	10					 7.0		 7.0						JAPAN		JAPAN:  SANRIKU	  40.500	  143.000	30																								
373		1089					    									8	SYRIA		SYRIA:  TUDMUR (PALMYRA)	  34.300	   38.200	140								3																
374		1091					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH); SYRIA	  36.100	   36.100	140								3																
375	Tsu	1096	12	17					 8.4		 8.4						JAPAN		JAPAN:  ENSHUNADA	  34.000	  137.500	30	     400	3																						
7381	Tsu	1099	2	22					 8.4		 8.4						JAPAN		JAPAN:  NANKAIDO	  33.000	  135.500	30																				1				
376		1101						10	 6.5						 6.5	10	IRAN		IRAN:  KHORASAN	  36.000	   59.000	140	   60000	4											   60000	4										
377		1102	1	15													CHINA		CHINA:  SHANXI PROVINCE:  CHIN,HSI TAI IN TAI,YUAN	  37.500	  112.600	30		3						3						3						3				
379		1102	2	28			    	15	 6.1						 6.1	8	AFGHANISTAN		AFGHANISTAN:  GERAT	  35.000	   62.100	40								2																
380		1106														8	TURKEY		TURKEY:  ANTAKYA (ANTIOCH), AL-DAINOOR	  36.200	   36.100	140								1		1		1								1		1		
381		1109														11	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140								3		3		3								3		3		
382		1111					    									9	TURKEY		TURKEY:  VAN	  38.500	   43.400	140								3																
385		1114	3	12													TURKEY		TURKEY:  SANAOSATA,GHISN-MANSUR,KNESUN,MARAS	  37.500	   38.500	140																								
383		1114															TURKEY		TURKEY:  ANTAKYA (ANTIOCH); SYRIA:  HALAB (ALEPPO)	  36.100	   36.100	140								2																
9985		1114														10	ITALY		ITALY:  VITERBO	  42.420	   12.100	130								1												1				
387		1115					    										IRAN		IRAN:  HENGAM ISLAND,KISH ISLAND	  26.400	   55.500	140								3																
388		1115															TURKEY		TURKEY:  ANTIOCH; SYRIA: ALEPPO; ISRAEL: PALESTINE	  36.100	   36.100	140								3																
389		1115														10	TURKEY		TURKEY:  HARRAN,KUFA,SAMSAT,EL-SUN	  36.800	   39.000	140								3																
390		1117	1	3	21	30	    									11	ITALY		ITALY:  N	  45.500	   11.000	130																								
391		1117	3	1			    									10	ITALY		ITALY:  VENEZIA (VENICE) TO EMILIA	  44.800	   11.300	130		3						3																
7261		1118															UK		UNITED KINGDOM:  IRELAND:  SLIABH-ELPA			120		3						4						3						4				
392		1119	12	10			    		 6.5						 6.5		IRAN		IRAN:  QAZVIN	  36.200	   50.000	140								3																
7906		1125	8	30					 7.0		 7.0					9	CHINA		CHINA:  GANSU PROVINCE	  36.100	  103.700	30								3		3										3		3		
393		1125	10	11			    									10	ITALY		ITALY:  BENEVENTO	  41.100	   14.800	130																								
394		1130	2	12			    										IRAQ		IRAQ:  AL-MAWSIL (MOSUL),JABAL,JAZIRAH	  36.200	   43.100	140								3																
395		1130	2	28			    									7	IRAQ		IRAQ:  BAGHDAD	  33.200	   44.200	140								2																
398		1137	9	19												9	IRAQ		IRAQ-SYRIA:  MESOPOTAMIA, MOSUL	  36.300	   43.100	140		3						4						3						4				
397		1137					    										ITALY		ITALY:  SICILY:  CATANIA	  37.300	   15.100	130	   15000	4																						
402		1139														11	AZERBAIJAN		AZERBAIJAN:  GYZNDZHA	  40.300	   46.300	40	  230000	4						4		4			  230000	4						4		4		
405		1143	4						 6.0		 6.0					8	CHINA		CHINA:  NINGXIA	  38.500	  106.300	30	   10000	4						3		3			   10000	4						3		3		
406		1149	5	11			    										IRAQ		IRAQ:  BAGHDAD	  33.200	   44.400	140		3																						
408		1151					    										PORTUGAL		PORTUGAL:  LISBON	  38.700	   -9.100	130	    1000	3						1																
407		1151					    		 6.2						 6.2	9	SYRIA		SYRIA:  BUSRA	  32.600	   36.700	140								3																
409		1153					    									10	GREECE		GREECE-ALBANIA	  39.800	   20.100	130																								
412		1155	1	18													ITALY		ITALY:  BORGOGNE	  45.800	    8.100	130		3																						
411		1155															SYRIA		SYRIA:  DIMASHQ; TURKEY:ANTIOCH; LEBANON:TARABULUS	  34.500	   36.500	140	    2000	4																						
413		1156	10	26													SYRIA		SYRIA:  HALAB (ALEPPO), MALATICH	  36.200	   37.200	140	    2000	4						3		3			    2000	4						3		3		
415		1157	2	13													SYRIA		SYRIA:  HALAB (ALEPPO)	  35.100	   36.300	140	    8000	4						4					   80000	4						4				
416		1158															SYRIA		SYRIA:  MALATYA,DIMASHQ; LEBANON; TURKEY:  ANTAKYA	  38.400	   38.350	140	   20000	4						4		4			   20000	4						4		4		
417		1160					    		 6.1						 6.1		ISRAEL		ISRAEL	  32.000	   35.500	140								3																
418		1164					    									10	ICELAND		ICELAND:  SOUTHLAND,GRIMSNES	  64.300	  -20.000	120	      19	1																						
421	Tsu	1169	2	4												11	ITALY		ITALY:  SICILY:  SIRACUSA (SYRACUSE); CALABRIA	  37.300	   15.030	130	   16000	4						3		3			   16000	4						3		3		
419		1169														10	SYRIA		SYRIA:  HALAB (ALEPPO),DIMASHQ (DAMASCUS)	  36.200	   37.200	140	   80000	4						3																
422		1171					    										LEBANON		LEBANON:  TARABULUS (TRIPOLI)	  34.400	   35.800	140								3																
9807	Tsu	1172															ITALY		ITALY:  SICILY	  38.000	   15.000	130														3										
424		1175	7	22			    										IRAN		IRAN:  REY (RAY),QAZVIN	  35.300	   51.200	140		3						3																
423		1175					    	15	 7.1						 7.1	10	TURKMENISTAN		TURKMENISTAN	  37.500	   65.500	40																								
425		1176					    										IRAN		IRAN:  REY-QAZVIN	  36.300	   50.000	140								3																
426		1179					    										TURKEY		TURKEY:  ANTIOCH; SYRIA:DAMASCUS; LEBANON:TRIPOLIS	  36.100	   36.100	140								3																
427		1180					    									10	ITALY		ITALY:  ARIANO	  41.100	   15.100	130																								
428		1182					    		 6.7						 6.7	10	SYRIA		SYRIA:  BUSRA; ISRAEL:  PALESTINE	  32.600	   36.700	140								3																
429		1182					    									10	ICELAND		ICELAND:  SOUTHLAND	  64.000	  -21.000	120	      11	1																						
430		1183					    										SYRIA		SYRIA:  DIMASHQ; TURKEY: ANTAKYA; LEBANON: TRIPOLI	  34.500	   36.500	140	   20000	4						3																
432		1184	5	24			    									10	ITALY		ITALY:  COSENZA	  39.300	   16.200	130								3																
435		1201	4	25	14											8	SLOVENIA		BALKANS NW:  SLOVENIA:  STYRIA	  46.400	   15.300	130								3												3				
440	Tsu	1202	5	20					 7.6		 7.6					11	SYRIA		SYRIA:  SOUTHWESTERN	  33.500	   36.000	140	   30000	4						4		4			   30000	4						4		4		
442		1202	7	25													CHINA		CHINA:  FUJIAN PROVINCE:  KIEN NAN CHAN	  27.100	  118.400	30		3												3										
444		1208	7	16					 6.5						 6.5		IRAN		IRAN:  NEYSHABUR (NEISHABUR),FIRRIM	  36.300	   57.600	140								3																
445		1208						10	 6.1						 6.1	9	TURKMENISTAN		TURKMENISTAN:  GURGANDZHE	  42.000	   60.000	40	    2000	4						3																
448		1209	12	4					 6.3		 6.3					9	CHINA		CHINA:  SHAANXI PROVINCE:  FUSHAN	  36.000	  111.800	30	    3000	4						3		3			    3000	4						3		3		
